algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario,safety_overridden,active_set_size,q_next_est
raucb_plus,0,29,800.0,512,50,2.0155764720381297,0.5919950149539537,18.030826348022536,1.540191793174344,0,0.8346938775510204,2.0,0.9238138768389723,0.05,0.06318811759042908,40,5,1.9321070842830277,1543.4235878445836,1.9292794848057295,17.90448484186822,1.9321070842830277,0.018300001102034003,0.0,1.6838775510204083,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.96715052940605
raucb_plus,0,30,800.0,512,50,2.3342626753645246,0.5327591145415143,17.785824858778284,0.8249753791418368,0,0.926530612244898,3.760667296993123,0.8879318575691905,0.05,0.4877433939372702,45,0,2.241609614140035,1797.705270619598,2.2471315882744975,18.030826348022536,2.241609614140035,0.017299993487540632,0.0,1.3073469387755101,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.99919369496131
raucb_plus,0,31,800.0,512,50,2.3648538655793967,0.5504873076225273,17.919499244102997,0.47029266130415914,0,0.46734693877551026,4.82699185015938,0.8590407029778292,0.05,0.7565775098621471,20,5,2.318119171701846,1852.1178281559864,2.3151472851949833,17.785824858778284,2.318119171701846,0.022799998987466097,0.0,1.7206122448979593,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.949806284540674
raucb_plus,0,32,800.0,512,50,2.1749640694142025,0.5631494465304436,18.021348917386927,0.3370469439518998,0,0.5591836734693878,4.122852287879213,0.8788000917194821,0.05,0.2766748027973408,25,5,2.1190457020672637,1693.4114665103873,2.116764333137984,17.919499244102997,2.1190457020672637,0.019099999917671084,0.0,1.7114285714285715,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.965775834168387
raucb_plus,0,33,800.0,512,50,2.0439467434424454,0.5837670453022024,18.140860869334126,0.0,0,0.926530612244898,2.7063629214651708,0.9109740515862392,0.05,0.5484933106971815,45,5,1.9512936822179556,1558.8811791885262,1.9486014739856576,18.021348917386927,1.9512936822179556,0.018300001102034003,0.0,1.6746938775510205,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.92752877996418
raucb_plus,0,34,800.0,512,50,2.2343414608377143,0.5542883261033834,18.119963768621894,0.0,0,1.0,2.0,0.9238138768389723,0.05,0.6240835104282724,49,0,2.1343414608377143,1707.8522600667645,2.134815325083456,18.140860869334126,2.1343414608377143,0.017400001524947584,0.0,1.2999999999999998,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,3,121,18.00256550415098
raucb_plus,0,35,800.0,512,50,2.2662768147150603,0.5542883261033834,18.068057125679253,0.0,0,1.0,2.0,0.9238138768389723,0.05,0.6312291293796795,49,0,2.16627681471506,1733.9619982615195,2.167452497826899,18.119963768621894,2.16627681471506,0.01809999957913533,0.0,1.2999999999999998,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,3,121,18.069963768621893
raucb_plus,0,36,800.0,512,50,2.260412031264392,0.5542883261033834,18.049801224260353,0.0,0,1.0,2.0,0.9238138768389723,0.05,0.7204802624580199,49,0,2.160412031264392,1728.659473681231,2.160824342101539,18.068057125679253,2.160412031264392,0.02059999678749591,0.0,1.2999999999999998,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,3,121,18.018057125679253
raucb_plus,0,37,800.0,512,50,2.2269967655694205,0.5482948669864057,17.96976955249426,0.0,0,1.0,2.5583399616951437,0.9138247783106762,0.05,0.08258855869950932,49,0,2.1269967655694204,1703.0419682225597,2.1288024602782,18.049801224260353,2.1269967655694204,0.019500002963468432,0.0,1.2999999999999998,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.999801224260352
raucb_plus,0,38,800.0,512,50,2.2705340983121003,0.5476613049748852,17.945158260683883,0.0,0,0.7428571428571429,2.6137049366086975,0.9127688416248086,0.05,0.26136676304590145,35,0,2.196248384026386,1757.4409664633304,2.196801208079163,17.96976955249426,2.196248384026386,0.018300001102034003,0.0,1.3257142857142856,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.932209413193995
raucb_plus,0,39,800.0,512,50,2.2436441741581366,0.5542883261033834,17.9521771473234,0.0,0,0.8346938775510204,2.0,0.9238138768389723,0.05,0.25508369675237524,40,0,2.1601747864030347,1728.0138740908678,2.160017342613585,17.945158260683883,2.1601747864030347,0.01979999797185883,0.0,1.3165306122448979,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.87245282214486
raucb_plus,0,40,800.0,512,50,2.2067098396598497,0.5435603069376728,17.810637502831483,0.0,0,0.926530612244898,2.9573856068419317,0.9059338448961213,0.05,0.5636112697948741,45,0,2.11405677843536,1693.7863675195758,2.1172329593994696,17.9521771473234,2.11405677843536,0.02269999822601676,0.0,1.3073469387755101,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.920544494262174
raucb_plus,0,41,800.0,512,50,2.0576272764891588,0.5714390988257952,17.826352952992163,0.0,0,0.6510204081632653,3.601576130031621,0.8917361733268778,0.05,0.506809210778459,30,5,1.9925252356728322,1593.74028635226,1.992175357940325,17.810637502831483,1.9925252356728322,0.02010000025620684,0.0,1.7022448979591838,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.953646174111437
