algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
raucb_plus,1,66,800.0,300,10,3.4,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,5,3.3417752805865115,2673.420224469209,3.3417752805865115,0.0,3.3417752805865115,1.0700000002543675,4.99,3.33,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,67,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,6,3.7679759761239193,3014.3807808991355,3.7679759761239193,0.0,3.7679759761239193,1.004800000373507,4.99,3.7300000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,68,800.0,300,10,4.2,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,7,4.047560631682453,3238.0485053459624,4.047560631682453,0.0,4.047560631682453,1.019899998937035,4.99,4.13,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,69,800.0,300,10,4.6,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,8,4.54271940582588,3634.1755246607045,4.54271940582588,0.0,4.54271940582588,1.0603999999148073,4.99,4.529999999999999,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,70,800.0,300,10,5.0,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,9,4.991232348376786,3992.985878701429,4.991232348376786,0.0,4.991232348376786,1.0660999996616738,4.99,4.93,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,71,800.0,300,10,1.4,0.0,0.0,0.0,0,0.8,10.0,0.05,7,0,1.3051236577814762,1044.098926225181,1.3051236577814762,0.0,1.3051236577814762,1.1195000006409828,4.99,1.3199999999999998,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,72,800.0,300,10,1.8,0.0,0.0,0.0,0,0.8,10.0,0.05,7,1,1.6794592708381215,1343.5674166704973,1.6794592708381217,0.0,1.6794592708381215,1.1372000008122995,4.99,1.72,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,73,800.0,300,10,2.2,0.0,0.0,0.0,0,0.8,10.0,0.05,7,2,2.1576121913589796,1726.0897530871837,2.1576121913589796,0.0,2.1576121913589796,1.162599999588565,4.99,2.12,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,74,800.0,300,10,2.6,0.0,0.0,0.0,0,0.8,10.0,0.05,7,3,2.532672325810407,2026.1378606483256,2.532672325810407,0.0,2.532672325810407,1.2006999986624578,4.99,2.52,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,75,800.0,300,10,3.0,0.0,0.0,0.0,0,0.8,10.0,0.05,7,4,2.964794153538878,2371.8353228311025,2.964794153538878,0.0,2.964794153538878,1.1594000006880378,4.99,2.92,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
