algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,run_tag,experiment_id
raucb_plus,0,5217,800.0,300,50,1.3863857529112853,0.722722849417743,0.0,0.0,0,0.45999999999999996,6.017264609747711,2,0,1.3403857529112853,1072.3086023290282,1.3403857529112853,0.0,1.3403857529112853,1.744399982271716,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5218,800.0,300,50,1.4817304494069563,0.7036539101186088,0.0,0.0,0,0.45999999999999996,6.565220033362012,2,0,1.4357304494069563,1148.584359525565,1.4357304494069565,0.0,1.4357304494069563,1.7248000076506287,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5219,800.0,300,50,1.2967642227559,0.74064715544882,0.0,0.0,0,0.45999999999999996,6.270176990325382,2,0,1.2507642227559,1000.6113782047199,1.2507642227559,0.0,1.2507642227559,1.7408999847248197,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5220,800.0,300,50,1.40984697947987,0.718030604104026,0.0,0.0,0,0.45999999999999996,5.795314566074294,2,0,1.36384697947987,1091.077583583896,1.36384697947987,0.0,1.36384697947987,1.719699997920543,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5221,800.0,300,50,1.4077601955259684,0.7184479608948063,0.0,0.0,0,0.45999999999999996,6.6288996441612325,2,0,1.3617601955259684,1089.4081564207747,1.3617601955259684,0.0,1.3617601955259684,1.7160999996121973,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5222,800.0,300,50,1.3885722539616994,0.7222855492076601,0.0,0.0,0,0.45999999999999996,6.267744071181132,2,0,1.3425722539616993,1074.0578031693594,1.3425722539616993,0.0,1.3425722539616993,1.7127999744843692,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5223,800.0,300,50,1.3450469181497369,0.7309906163700527,0.0,0.0,0,0.45999999999999996,5.581360101467675,2,0,1.2990469181497368,1039.2375345197895,1.2990469181497368,0.0,1.2990469181497368,1.7211999802384526,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5224,800.0,300,50,1.4793897316995124,0.7041220536600975,0.0,0.0,0,0.45999999999999996,5.778184873513248,2,0,1.4333897316995123,1146.7117853596098,1.4333897316995123,0.0,1.4333897316995123,1.8309000006411225,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5225,800.0,300,50,1.5389854428118224,0.6922029114376356,0.0,0.0,0,0.45999999999999996,4.419192052122021,2,0,1.4929854428118223,1194.388354249458,1.4929854428118225,0.0,1.4929854428118223,1.751499978126958,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5226,800.0,300,50,1.3772295338050986,0.7245540932389802,0.0,0.0,0,0.45999999999999996,4.919279141443107,2,0,1.3312295338050986,1064.983627044079,1.3312295338050988,0.0,1.3312295338050986,1.7362999788019806,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5227,800.0,300,50,1.3820793099918587,0.7235841380016282,0.0,0.0,0,0.45999999999999996,4.404618802458728,2,0,1.3360793099918586,1068.863447993487,1.3360793099918586,0.0,1.3360793099918586,1.7820000066421926,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5228,800.0,300,50,1.382528904832857,0.7234942190334286,0.0,0.0,0,0.45999999999999996,3.8198837580084968,2,0,1.336528904832857,1069.2231238662857,1.3365289048328572,0.0,1.336528904832857,1.7241000023204833,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5229,800.0,300,50,1.3554861337824065,0.7289027732435187,0.0,0.0,0,0.45999999999999996,5.00414288650648,2,0,1.3094861337824064,1047.5889070259252,1.3094861337824064,0.0,1.3094861337824064,1.724300003843382,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5230,800.0,300,50,1.3909226050112364,0.7218154789977527,0.0,0.0,0,0.45999999999999996,3.921921790167345,2,0,1.3449226050112364,1075.938084008989,1.3449226050112364,0.0,1.3449226050112364,1.72159998328425,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5231,800.0,300,50,1.3492254099627161,0.7301549180074568,0.0,0.0,0,0.45999999999999996,4.4273961142032245,2,0,1.303225409962716,1042.580327970173,1.303225409962716,0.0,1.303225409962716,1.7158999980892986,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5232,800.0,300,50,1.1407135447549495,0.7718572910490101,0.0,0.0,0,0.45999999999999996,4.939533020483566,2,0,1.0947135447549494,875.7708358039596,1.0947135447549494,0.0,1.0947135447549494,1.72309999470599,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5233,800.0,300,50,1.3761745500083296,0.7247650899983341,0.0,0.0,0,0.45999999999999996,4.772477152971156,2,0,1.3301745500083295,1064.1396400066635,1.3301745500083293,0.0,1.3301745500083295,1.8297000206075609,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5234,800.0,300,50,1.3969404434714463,0.7206119113057108,0.0,0.0,0,0.45999999999999996,5.057012638760419,2,0,1.3509404434714463,1080.752354777157,1.3509404434714463,0.0,1.3509404434714463,1.7385999963153154,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5235,800.0,300,50,1.445468533919528,0.7109062932160943,0.0,0.0,0,0.45999999999999996,4.776507936814442,2,0,1.3994685339195279,1119.5748271356224,1.399468533919528,0.0,1.3994685339195279,1.7388999985996634,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5236,800.0,300,50,1.4883708759631396,0.702325824807372,0.0,0.0,0,0.45999999999999996,6.3888158759557,2,0,1.4423708759631395,1153.8967007705116,1.4423708759631395,0.0,1.4423708759631395,1.78390002110973,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5237,800.0,300,50,1.559921224987993,0.6880157550024014,0.0,0.0,0,0.45999999999999996,4.973420796923281,2,0,1.513921224987993,1211.1369799903944,1.513921224987993,0.0,1.513921224987993,1.7472000035922974,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5238,800.0,300,50,1.3641478726769354,0.727170425464613,0.0,0.0,0,0.45999999999999996,6.569722847156876,2,0,1.3181478726769353,1054.5182981415483,1.3181478726769353,0.0,1.3181478726769353,1.7445000121369958,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5239,800.0,300,50,1.4512758105708892,0.7097448378858221,0.0,0.0,0,0.45999999999999996,5.185289550430687,2,0,1.4052758105708891,1124.2206484567114,1.4052758105708891,0.0,1.4052758105708891,1.7342999926768243,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5240,800.0,300,50,1.3217654998519675,0.7356469000296065,0.0,0.0,0,0.45999999999999996,4.87440918465435,2,0,1.2757654998519674,1020.6123998815739,1.2757654998519674,0.0,1.2757654998519674,1.7462999967392534,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5241,800.0,300,50,1.3110436175925437,0.7377912764814912,0.06420850332400374,0.0,0,0.45999999999999996,2.0,2,0,1.2650436175925437,1012.0348940740349,1.2650436175925437,0.0,1.2650436175925437,1.7355000018142164,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5242,800.0,300,50,1.498321404727867,0.7003357190544266,0.1595600042303511,0.0017651958242619337,0,0.45999999999999996,2.018011434378682,2,0,1.452321404727867,1161.8510014051308,1.4523137517564135,0.06420850332400374,1.452321404727867,1.735400001052767,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5243,800.0,300,50,1.3048011477205999,0.7390397704558801,0.11973287403168492,0.0,0,0.45999999999999996,3.4823821164212543,2,0,1.2588011477205998,1007.0472729935428,1.2588090912419285,0.1595600042303511,1.2588011477205998,1.7430000007152557,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5244,800.0,300,50,1.3171237987441482,0.7365752402511704,0.16477742554664582,0.0,0,0.45999999999999996,2.0,2,0,1.2711237987441482,1016.8936456817062,1.2711170571021326,0.11973287403168492,1.2711237987441482,1.7819000058807433,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
